Nombre,Subestacion,Nodo,S[MVA],PF[cos],P[MW],Q[MW]
lod_4127_1,ALICE_115 kV/ALICE 0/ALICE_115 kV/ALICE_1/115.000000,ALICE 0,90.724129,0.962126,87.288002,24.732000
lod_4170_1,ARANSAS PASS_115 kV/ARANSAS PASS 0/ARANSAS PASS_115 kV/ARANS_1/115.000000,ARANSAS PASS 0,37.270546,0.962127,35.859001,10.160000
lod_4053_1,ARMSTRONG 2_115 kV/ARMSTRONG 2 0/ARMSTRONG 2_115 kV/ARMST_1/115.000000,ARMSTRONG 2 0,0.115248,0.963144,0.111000,0.031000
lod_4038_1,BEEVILLE_115 kV/BEEVILLE 0/BEEVILLE_115 kV/BEEVI_1/115.000000,BEEVILLE 0,86.037514,0.962127,82.778999,23.454000
lod_4038_2,BEEVILLE_115 kV/BEEVILLE 0/BEEVILLE_115 kV/BEEVI_1/115.000000,BEEVILLE 0,0.545734,0.962006,0.525000,0.149000
lod_4051_1,BISHOP_115 kV/BISHOP 0/BISHOP_115 kV/BISHO_1/115.000000,BISHOP 0,16.045675,0.962128,15.438000,4.374000
lod_4051_2,BISHOP_115 kV/BISHOP 0/BISHOP_115 kV/BISHO_1/115.000000,BISHOP 0,76.864006,0.962128,73.953003,20.952999
lod_4193_1,BROWNSVILLE 1_115 kV/BROWNSVILLE 1 1/BROWNSVILLE 1_115 kV/BROWN_1/115.000000,BROWNSVILLE 1 1,185.239685,0.962126,178.223999,50.497002
lod_4071_1,BROWNSVILLE 2_115 kV/BROWNSVILLE 2 1/BROWNSVILLE 2_115 kV/BROWN_1/115.000000,BROWNSVILLE 2 1,292.533112,0.962127,281.454010,79.745003
lod_4126_1,BROWNSVILLE 3_115 kV/BROWNSVILLE 3 0/BROWNSVILLE 3_115 kV/BROWN_1/115.000000,BROWNSVILLE 3 0,132.394196,0.962127,127.379997,36.091000
lod_4006_1,BRUNI 2_115 kV/BRUNI 2 0/BRUNI 2_115 kV/BRUNI_1/115.000000,BRUNI 2 0,1.384324,0.962202,1.332000,0.377000
lod_4006_2,BRUNI 2_115 kV/BRUNI 2 0/BRUNI 2_115 kV/BRUNI_1/115.000000,BRUNI 2 0,1.478003,0.962109,1.422000,0.403000
lod_4189_1,CARRIZO SPRINGS_115 kV/CARRIZO SPRINGS 0/CARRIZO SPRINGS_115 kV/CARRI_1/115.000000,CARRIZO SPRINGS 0,2.450793,0.962137,2.358000,0.668000
lod_4189_2,CARRIZO SPRINGS_115 kV/CARRIZO SPRINGS 0/CARRIZO SPRINGS_115 kV/CARRI_1/115.000000,CARRIZO SPRINGS 0,4.200084,0.962124,4.041000,1.145000
lod_4189_3,CARRIZO SPRINGS_115 kV/CARRIZO SPRINGS 0/CARRIZO SPRINGS_115 kV/CARRI_1/115.000000,CARRIZO SPRINGS 0,24.411640,0.962123,23.487000,6.655000
lod_4016_1,CHARLOTTE_115 kV/CHARLOTTE 0/CHARLOTTE_115 kV/CHARL_1/115.000000,CHARLOTTE 0,6.491950,0.962115,6.246000,1.770000
lod_4159_1,CORPUS CHRISTI 1_115 kV/CORPUS CHRISTI 1 1/CORPUS CHRISTI 1_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 1 1,37.607349,0.962126,36.182999,10.252000
lod_4072_1,CORPUS CHRISTI 10_115 kV/CORPUS CHRISTI 10 0/CORPUS CHRISTI 10_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 10 0,53.743549,0.962125,51.708000,14.651000
lod_4109_1,CORPUS CHRISTI 11_115 kV/CORPUS CHRISTI 11 0/CORPUS CHRISTI 11_115 kV/CORPU_1/115.000000,CORPUS CHRISTI 11 0,115.222855,0.962127,110.859001,31.410000
