Nombre,Subestacion,Nodo,Tipo,V_nom[kV],Set_point[p.u.],S_nom[MVA],PF[cos],P_nom[MW],P_gen[MW],Q_gen[MVAr],P_max[MW],P_min[MW],Q_max[MVAr],Q_min[MVAr],Factor_escala,R_sub[p.u],X_sub[p.u],Inercia[s],Slack,Fuera_servicio
sym_4153_1,ARMSTRONG 1_18 kV/ARMSTRONG 1 2/ARMSTRONG 1_18 kV/ARMST_1/18.000000,ARMSTRONG 1 2,,18.000000,1.040000,339.839996,1.000000,339.839996,212.399994,0.000000,283.200012,84.959999,60.319996,-40.779999,1.000000,0.000000,0.190000,5.000000,0.000000,0.000000
sym_4052_1,BISHOP_18 kV/BISHOP 1/BISHOP_18 kV/BISHO_1/18.000000,BISHOP 1,,18.000000,1.040000,53.040001,1.000000,53.040001,44.077000,0.000000,44.200001,13.260000,22.500000,-4.910000,0.833333,0.000000,0.285100,3.127400,0.000000,0.000000
sym_4192_1,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,,230.000000,1.020000,90.000000,1.000000,90.000000,74.791000,0.000000,75.000000,22.500000,38.169998,-8.330000,0.833333,0.000000,0.143400,2.974300,0.000000,0.000000
sym_4192_10,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,,230.000000,1.020000,220.520004,1.000000,220.520004,183.257004,0.000000,183.770004,55.130001,93.540001,-20.400000,0.833348,0.000000,0.113900,5.692700,0.000000,0.000000
sym_4192_2,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,,230.000000,1.020000,28.799999,1.000000,28.799999,0.000000,0.000000,24.000000,7.200000,12.220000,-2.660000,0.833333,0.000000,0.287400,7.690300,0.000000,1.000000
sym_4192_3,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,,230.000000,1.020000,73.199997,1.000000,73.199997,60.830002,0.000000,61.000000,18.299999,31.049999,-6.770000,0.833333,0.000000,0.118700,8.478000,0.000000,0.000000
sym_4192_4,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,,230.000000,1.020000,12.480000,1.000000,12.480000,10.371000,0.000000,10.400000,3.120000,5.290000,-1.150000,0.833333,0.000000,0.118300,2.090600,0.000000,0.000000
sym_4192_5,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,,230.000000,1.020000,320.399994,1.000000,320.399994,136.477997,0.000000,267.000000,80.099998,135.899994,-29.640001,0.833333,0.000000,0.154900,5.000000,0.000000,0.000000
sym_4192_6,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,,230.000000,1.020000,320.399994,1.000000,320.399994,155.895996,0.000000,267.000000,80.099998,135.899994,-29.640001,0.833333,0.000000,0.144700,5.000000,0.000000,0.000000
sym_4192_7,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,,230.000000,1.020000,320.399994,1.000000,320.399994,155.895996,0.000000,267.000000,80.099998,135.899994,-29.640001,0.833333,0.000000,0.138800,5.000000,0.000000,0.000000
sym_4192_8,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,,230.000000,1.020000,220.520004,1.000000,220.520004,183.257004,0.000000,183.770004,55.130001,93.540001,-20.400000,0.833348,0.000000,0.117200,4.003200,0.000000,0.000000
sym_4192_9,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,,230.000000,1.020000,220.520004,1.000000,220.520004,183.257004,0.000000,183.770004,55.130001,93.540001,-20.400000,0.833348,0.000000,0.128900,5.436300,0.000000,0.000000
sym_4177_1,BRUNI 1_13.8 kV/BRUNI 1 1/BRUNI 1_13.8 kV/BRUNI_1/13.800000,BRUNI 1 1,,13.800000,1.040000,180.000000,1.000000,180.000000,112.500000,0.000000,150.000000,45.000000,31.950001,-21.600000,1.000000,0.000000,0.190000,5.000000,0.000000,0.000000
sym_4026_1,CHRISTINE_13.8 kV/CHRISTINE 2/CHRISTINE_13.8 kV/CHRIS_1/13.800000,CHRISTINE 2,,13.800000,1.030000,492.000000,1.000000,492.000000,408.855011,0.000000,410.000000,123.000000,191.059998,-50.020000,0.833333,0.000000,0.327700,2.915500,0.000000,0.000000
sym_4160_1,CORPUS CHRISTI 1_13.8 kV/CORPUS CHRISTI 1 2/CORPUS CHRISTI 1_13.8 kV/CORPU_1/13.800000,CORPUS CHRISTI 1 2,,13.800000,1.030000,237.320007,1.000000,237.320007,197.218002,0.000000,197.770004,59.330002,100.660004,-21.950001,0.833347,0.000000,0.188200,5.914600,0.000000,0.000000
sym_4161_1,CORPUS CHRISTI 1_13.8 kV/CORPUS CHRISTI 1 3/CORPUS CHRISTI 1_13.8 kV/CORPU_2/13.800000,CORPUS CHRISTI 1 3,,13.800000,1.030000,237.320007,1.000000,237.320007,87.786003,0.000000,197.770004,59.330002,100.660004,-21.950001,0.833347,0.000000,0.123900,4.890400,0.000000,0.000000
sym_4162_1,CORPUS CHRISTI 1_13.8 kV/CORPUS CHRISTI 1 4/CORPUS CHRISTI 1_13.8 kV/CORPU_3/13.800000,CORPUS CHRISTI 1 4,,13.800000,1.030000,237.320007,1.000000,237.320007,112.462997,0.000000,197.770004,59.330002,100.660004,-21.950001,0.833347,0.000000,0.172200,4.394500,0.000000,0.000000
sym_4163_1,CORPUS CHRISTI 1_13.8 kV/CORPUS CHRISTI 1 5/CORPUS CHRISTI 1_13.8 kV/CORPU_4/13.800000,CORPUS CHRISTI 1 5,,13.800000,1.030000,10.800000,1.000000,10.800000,0.000000,0.000000,9.000000,2.700000,4.580000,-1.000000,0.833333,0.000000,0.230600,7.961000,0.000000,1.000000
sym_4065_1,CORPUS CHRISTI 2_18 kV/CORPUS CHRISTI 2 1/CORPUS CHRISTI 2_18 kV/CORPU_1/18.000000,CORPUS CHRISTI 2 1,,18.000000,1.020000,56.400002,1.000000,56.400002,46.868999,0.000000,47.000000,14.100000,23.920000,-5.220000,0.833333,0.000000,0.159200,2.335000,0.000000,0.000000
sym_4082_1,CORPUS CHRISTI 3_13.8 kV/CORPUS CHRISTI 3 2/CORPUS CHRISTI 3_13.8 kV/CORPU_1/13.800000,CORPUS CHRISTI 3 2,,13.800000,1.040000,292.079987,1.000000,292.079987,242.720001,0.000000,243.399994,73.019997,123.889999,-27.020000,0.833333,0.000000,0.138100,5.109900,0.000000,0.000000
sym_4083_1,CORPUS CHRISTI 3_13.8 kV/CORPUS CHRISTI 3 3/CORPUS CHRISTI 3_13.8 kV/CORPU_2/13.800000,CORPUS CHRISTI 3 3,,13.800000,1.040000,292.079987,1.000000,292.079987,242.720001,0.000000,243.399994,73.019997,123.889999,-27.020000,0.833333,0.000000,0.157000,5.104300,0.000000,0.000000
sym_4084_1,CORPUS CHRISTI 3_13.8 kV/CORPUS CHRISTI 3 4/CORPUS CHRISTI 3_13.8 kV/CORPU_3/13.800000,CORPUS CHRISTI 3 4,,13.800000,1.040000,292.079987,1.000000,292.079987,242.720001,0.000000,243.399994,73.019997,123.889999,-27.020000,0.833333,0.000000,0.191100,4.969200,0.000000,0.000000
sym_4085_1,CORPUS CHRISTI 3_13.8 kV/CORPUS CHRISTI 3 5/CORPUS CHRISTI 3_13.8 kV/CORPU_4/13.800000,CORPUS CHRISTI 3 5,,13.800000,1.040000,422.399994,1.000000,422.399994,168.046997,0.000000,352.000000,105.599998,179.169998,-39.070000,0.833333,0.000000,0.319200,5.000000,0.000000,0.000000
