Nombre,Subestacion_i,Nodo_i,Subestacion_j,Nodo_j,V_nom[kV],Longitud [km],R[Ohm/km],R[pu],X[Ohm/km],X[pu],C[uF/km],R0[Ohm/km],X0[Ohm/km],C0[uF/km],I_nominal [kA],Carga_maxima [%],Fuera_servicio
lne_3050_4014_1,DEL RIO_230 kV/DEL RIO 0/DEL RIO_230 kV/DEL R_1/230.000000,DEL RIO 0,EAGLE PASS_230 kV/EAGLE PASS 0/EAGLE PASS_230 kV/EAGLE_1/230.000000,EAGLE PASS 0,230.000000,1.000000,8.807850,0.016650,86.078880,0.162720,1.569938,0.000000,0.000000,0.000000,1.375600,100.000000,0.000000
lne_3119_4002_1,BRACKETTVILLE 1_115 kV/BRACKETTVILLE 1 0/BRACKETTVILLE 1_115 kV/BRACK_1/115.000000,BRACKETTVILLE 1 0,LAUGHLIN A F B_115 kV/LAUGHLIN A F B 0/LAUGHLIN A F B_115 kV/LAUGH_1/115.000000,LAUGHLIN A F B 0,115.000000,1.000000,2.929338,0.022150,17.591890,0.133020,0.362035,0.000000,0.000000,0.000000,0.492003,100.000000,0.000000
lne_3119_4188_1,BRACKETTVILLE 1_115 kV/BRACKETTVILLE 1 0/BRACKETTVILLE 1_115 kV/BRACK_1/115.000000,BRACKETTVILLE 1 0,QUEMADO_115 kV/QUEMADO 0/QUEMADO_115 kV/QUEMA_1/115.000000,QUEMADO 0,115.000000,1.000000,3.570750,0.027000,20.392950,0.154200,0.464728,0.000000,0.000000,0.000000,0.492003,100.000000,0.000000
lne_4003_4040_1,EDINBURG 3_115 kV/EDINBURG 3 0/EDINBURG 3_115 kV/EDINB_1/115.000000,EDINBURG 3 0,MISSION 4_115 kV/MISSION 4 1/MISSION 4_115 kV/MISSI_1/115.000000,MISSION 4 1,115.000000,1.000000,1.598902,0.012090,10.327400,0.078090,0.298854,0.000000,0.000000,0.000000,1.255109,100.000000,0.000000
lne_4003_4103_1,EDINBURG 3_115 kV/EDINBURG 3 0/EDINBURG 3_115 kV/EDINB_1/115.000000,EDINBURG 3 0,EDINBURG 1_115 kV/EDINBURG 1 0/EDINBURG 1_115 kV/EDINB_1/115.000000,EDINBURG 1 0,115.000000,1.000000,1.108255,0.008380,7.160015,0.054140,0.207192,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4003_4103_2,EDINBURG 3_115 kV/EDINBURG 3 0/EDINBURG 3_115 kV/EDINB_1/115.000000,EDINBURG 3 0,EDINBURG 1_115 kV/EDINBURG 1 0/EDINBURG 1_115 kV/EDINB_1/115.000000,EDINBURG 1 0,115.000000,1.000000,1.108255,0.008380,7.160015,0.054140,0.207192,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4003_4128_1,EDINBURG 3_115 kV/EDINBURG 3 0/EDINBURG 3_115 kV/EDINB_1/115.000000,EDINBURG 3 0,RIO GRANDE CITY_115 kV/RIO GRANDE CITY 0/RIO GRANDE CITY_115 kV/RIO G_1/115.000000,RIO GRANDE CITY 0,115.000000,1.000000,1.713960,0.012960,11.939530,0.090280,0.296046,0.000000,0.000000,0.000000,1.109517,100.000000,0.000000
lne_4004_4014_1,LAREDO 7_230 kV/LAREDO 7 0/LAREDO 7_230 kV/LARED_1/230.000000,LAREDO 7 0,EAGLE PASS_230 kV/EAGLE PASS 0/EAGLE PASS_230 kV/EAGLE_1/230.000000,EAGLE PASS 0,230.000000,1.000000,3.174000,0.006000,31.740000,0.060000,0.576648,0.000000,0.000000,0.000000,1.375600,100.000000,0.000000
lne_4004_4113_1,LAREDO 7_230 kV/LAREDO 7 0/LAREDO 7_230 kV/LARED_1/230.000000,LAREDO 7 0,LAREDO 1_230 kV/LAREDO 1 0/LAREDO 1_230 kV/LARED_1/230.000000,LAREDO 1 0,230.000000,1.000000,2.412240,0.004560,17.218950,0.032550,0.297550,0.000000,0.000000,0.000000,1.112027,100.000000,0.000000
lne_4005_4022_1,LAREDO 7_115 kV/LAREDO 7 1/LAREDO 7_115 kV/LARED_1/115.000000,LAREDO 7 1,ENCINAL_115 kV/ENCINAL 0/ENCINAL_115 kV/ENCIN_1/115.000000,ENCINAL 0,115.000000,1.000000,3.615715,0.027340,15.001120,0.113430,0.386104,0.000000,0.000000,0.000000,0.748045,100.000000,0.000000
