Nombre,Subestacion_HV,Nodo_HV,Subestacion_LV,Nodo_LV,S_nom[MVA],HV[kV],LV[kV],R[pu],X[pu],vkr[%],vk[%],Perdidas[kW],I0[%],vk0[%],vkr0[%],mag0[%],mag0_rx,si0_hv[%],shift[deg],Maxima_carga[%],Lado_tap,Pos_tap,N_tap,Max_tap,Min_tap,Aum_tap_v,Aum_tap_deg,Fuera_servicio
trf_4151_4152_1,ARMSTRONG 1_230 kV/ARMSTRONG 1 0/ARMSTRONG 1_230 kV/ARMST_1/230.000000,ARMSTRONG 1 0,ARMSTRONG 1_115 kV/ARMSTRONG 1 1/ARMSTRONG 1_115 kV/ARMST_1/115.000000,ARMSTRONG 1 1,78.000000,230.000000,115.000000,0.001115,0.065224,0.111540,6.523314,87.001198,0.000000,3.000000,0.000000,100.000000,0.000000,0.900000,0.000000,100.000000,1.000000,0.000000,0.000000,80.000000,-79.000000,0.626582,0.000000,0.000000
trf_4151_4152_2,ARMSTRONG 1_230 kV/ARMSTRONG 1 0/ARMSTRONG 1_230 kV/ARMST_1/230.000000,ARMSTRONG 1 0,ARMSTRONG 1_115 kV/ARMSTRONG 1 1/ARMSTRONG 1_115 kV/ARMST_1/115.000000,ARMSTRONG 1 1,78.000000,230.000000,115.000000,0.001115,0.065224,0.111540,6.523314,87.001198,0.000000,3.000000,0.000000,100.000000,0.000000,0.900000,0.000000,100.000000,1.000000,0.000000,0.000000,80.000000,-79.000000,0.626582,0.000000,0.000000
trf_4151_4153_1,ARMSTRONG 1_230 kV/ARMSTRONG 1 0/ARMSTRONG 1_230 kV/ARMST_1/230.000000,ARMSTRONG 1 0,ARMSTRONG 1_18 kV/ARMSTRONG 1 2/ARMSTRONG 1_18 kV/ARMST_1/18.000000,ARMSTRONG 1 2,381.000000,230.000000,18.000000,0.002286,0.061417,0.228600,6.145973,870.966003,0.000000,3.000000,0.000000,100.000000,0.000000,0.900000,0.000000,100.000000,1.000000,0.000000,0.000000,80.000000,-79.000000,0.626582,0.000000,0.000000
trf_4051_4052_1,BISHOP_115 kV/BISHOP 0/BISHOP_115 kV/BISHO_1/115.000000,BISHOP 0,BISHOP_18 kV/BISHOP 1/BISHOP_18 kV/BISHO_1/18.000000,BISHOP 1,100.000000,115.000000,18.000000,0.004060,0.168790,0.406000,16.883881,406.000000,0.000000,3.000000,0.000000,100.000000,0.000000,0.900000,0.000000,100.000000,1.000000,0.000000,0.000000,80.000000,-79.000000,0.626582,0.000000,0.000000
trf_4192_4193_1,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,BROWNSVILLE 1_115 kV/BROWNSVILLE 1 1/BROWNSVILLE 1_115 kV/BROWN_1/115.000000,BROWNSVILLE 1 1,438.000000,230.000000,115.000000,0.001577,0.104945,0.157680,10.495660,690.638428,0.000000,3.000000,0.000000,100.000000,0.000000,0.900000,0.000000,100.000000,1.000000,0.000000,0.000000,80.000000,-79.000000,0.626582,0.000000,0.000000
trf_4192_4193_2,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,BROWNSVILLE 1_115 kV/BROWNSVILLE 1 1/BROWNSVILLE 1_115 kV/BROWN_1/115.000000,BROWNSVILLE 1 1,438.000000,230.000000,115.000000,0.001577,0.104945,0.157680,10.495660,690.638428,0.000000,3.000000,0.000000,100.000000,0.000000,0.900000,0.000000,100.000000,1.000000,0.000000,0.000000,80.000000,-79.000000,0.626582,0.000000,0.000000
trf_4192_4193_3,BROWNSVILLE 1_230 kV/BROWNSVILLE 1 0/BROWNSVILLE 1_230 kV/BROWN_1/230.000000,BROWNSVILLE 1 0,BROWNSVILLE 1_115 kV/BROWNSVILLE 1 1/BROWNSVILLE 1_115 kV/BROWN_1/115.000000,BROWNSVILLE 1 1,438.000000,230.000000,115.000000,0.001577,0.104945,0.157680,10.495660,690.638428,0.000000,3.000000,0.000000,100.000000,0.000000,0.900000,0.000000,100.000000,1.000000,0.000000,0.000000,80.000000,-79.000000,0.626582,0.000000,0.000000
trf_4070_4071_1,BROWNSVILLE 2_230 kV/BROWNSVILLE 2 0/BROWNSVILLE 2_230 kV/BROWN_1/230.000000,BROWNSVILLE 2 0,BROWNSVILLE 2_115 kV/BROWNSVILLE 2 1/BROWNSVILLE 2_115 kV/BROWN_1/115.000000,BROWNSVILLE 2 1,353.000000,230.000000,115.000000,0.004271,0.151508,0.427130,15.156780,1507.769043,0.000000,3.000000,0.000000,100.000000,0.000000,0.900000,0.000000,100.000000,1.000000,0.000000,0.000000,80.000000,-79.000000,0.626582,0.000000,0.000000
trf_4070_4071_2,BROWNSVILLE 2_230 kV/BROWNSVILLE 2 0/BROWNSVILLE 2_230 kV/BROWN_1/230.000000,BROWNSVILLE 2 0,BROWNSVILLE 2_115 kV/BROWNSVILLE 2 1/BROWNSVILLE 2_115 kV/BROWN_1/115.000000,BROWNSVILLE 2 1,353.000000,230.000000,115.000000,0.004271,0.151508,0.427130,15.156780,1507.769043,0.000000,3.000000,0.000000,100.000000,0.000000,0.900000,0.000000,100.000000,1.000000,0.000000,0.000000,80.000000,-79.000000,0.626582,0.000000,0.000000
trf_4176_4177_1,BRUNI 1_115 kV/BRUNI 1 0/BRUNI 1_115 kV/BRUNI_1/115.000000,BRUNI 1 0,BRUNI 1_13.8 kV/BRUNI 1 1/BRUNI 1_13.8 kV/BRUNI_1/13.800000,BRUNI 1 1,115.000000,115.000000,13.800000,0.006095,0.129651,0.609500,12.979420,700.924988,0.000000,3.000000,0.000000,100.000000,0.000000,0.900000,0.000000,100.000000,1.000000,0.000000,0.000000,80.000000,-79.000000,0.626582,0.000000,0.000000
